data,valor,mudou
2023-01-01,0.53,1
2023-02-01,0.84,1
2023-03-01,0.71,1
2023-04-01,0.61,1
2023-05-01,0.23,1
2023-06-01,-0.08,1
2023-07-01,0.12,1
2023-08-01,0.23,1
2023-09-01,0.26,1
2023-10-01,0.24,1
2023-11-01,0.28,1
2023-12-01,0.56,1
2024-01-01,0.42,1
2024-02-01,0.83,1
2024-03-01,0.16,1
2024-04-01,0.38,1
2024-05-01,0.46,1
2024-06-01,0.21,1
2024-07-01,0.38,1
2024-08-01,-0.02,1
2024-09-01,0.44,1
2024-10-01,0.56,1
2024-11-01,0.39,1
2024-12-01,0.52,1
2025-01-01,0.16,1
2025-02-01,1.31,1
2025-03-01,0.56,1
2025-04-01,0.43,1
2025-05-01,0.26,1
